Appid,Game_title,Platform,Release_date,Price
3036520,Rome Goes Rogue,"['win', 'mac', 'linux']",Coming soon,Free
3100730,Zugnaex,['win'],"10 Oct, 2024",¥19.80
3263650,Hi! These Are Your Eyeballs Demo,['win'],"10 Oct, 2024",Free
3214910,The Fox Hare Disaster: Chapter One,['win'],"10 Oct, 2024",¥14.40
2957520,DRAGON BALL: Sparking! ZERO Season Pass,['win'],"10 Oct, 2024",¥198.00
3279770,THE BEST INVESTOR Demo,['win'],"10 Oct, 2024",Free
2790320,Măgurele Mystery 2,['win'],"10 Oct, 2024",¥18.20
3195080,Hexaquest Demo,['win'],"10 Oct, 2024",Free
1790600,DRAGON BALL: Sparking! ZERO,['win'],"10 Oct, 2024",¥298.00
2957460,DRAGON BALL: Sparking! ZERO Pre-Order Pack,['win'],"10 Oct, 2024",¥18.00
3276350,Are You Kidding Me (Demo),"['win', 'linux']","10 Oct, 2024",Free
3198450,Pilot Light Demo,"['win', 'linux']","10 Oct, 2024",Free
3270150,大乱闘リバーサイドギャルズ Demo,['win'],"10 Oct, 2024",Free
3178990,Floatineer 海上建筑师 Demo,['win'],"10 Oct, 2024",Free
2663670,Zodiac Revenger,['win'],"10 Oct, 2024",¥17.60
3282590,Hidalgo Demo,['win'],"10 Oct, 2024",Free
2972090,Spellagis,['win'],"10 Oct, 2024",¥22.00
3188720,WinSizeNG - Resize your desktop applications,['win'],"10 Oct, 2024",¥33.00
3279720,A Game of Gods: Infinium Demo,['win'],"10 Oct, 2024",Free
2573390,Playroom Invasion TD Demo,['win'],"10 Oct, 2024",Free
3278070,Zaraq Demo,['win'],"10 Oct, 2024",Free
3278200,Scuttle Demo,['win'],"10 Oct, 2024",Free
1851210,Strinova Demo,['win'],"10 Oct, 2024",Free
2880460,Terroro,['win'],"10 Oct, 2024",Free
3045000,Tile To Tile,['win'],"10 Oct, 2024",¥8.80
3239380,"Beat, Heart, Beat Demo","['win', 'mac']","10 Oct, 2024",Free
2913720,Industry Giant 4.0 Demo,['win'],"10 Oct, 2024",Free
3276930,The Greys: Human Abductions Demo,['win'],"10 Oct, 2024",Free
3281450,STAaRS Demo,['win'],"10 Oct, 2024",Free
3242720,good Demo,['win'],"10 Oct, 2024",Free
3263980,Christmas Hustle Demo,['win'],"10 Oct, 2024",Free
3270040,Our Ephemeral Nights Demo,"['win', 'mac', 'linux']","10 Oct, 2024",Free
3263900,A Shelter Full of Cats Demo,"['win', 'linux']","10 Oct, 2024",Free
3251770,Talewarden: Riders of the New Day Demo,['win'],"10 Oct, 2024",Free
3205240,Starship Troopers: Extermination - Boreas Cosmetic Pack,['win'],"10 Oct, 2024",¥42.00
3205210,Starship Troopers: Extermination - Valaka Cosmetic Pack,['win'],"10 Oct, 2024",¥42.00
3205230,Starship Troopers: Extermination - Planet X-11 Cosmetic Pack,['win'],"10 Oct, 2024",¥42.00
3205220,Starship Troopers: Extermination - Agni Prime Cosmetic Pack,['win'],"10 Oct, 2024",¥42.00
3269290,Genome Guardian Demo,['win'],"10 Oct, 2024",Free
3240510,Calypso's Calamity,"['win', 'mac']","10 Oct, 2024",¥42.00
2553930,Soul Drifter,['win'],"10 Oct, 2024",¥49.30
1500180,Decline's Drops,['win'],"10 Oct, 2024",¥57.60
2923260,Silent Slayer: Vault of the Vampire,"['win', 'group_separator']","10 Oct, 2024",¥62.40
3231460,Dreamstate,['win'],"10 Oct, 2024",¥42.00
3243140,RPG Maker MZ - Pixel Battlers Monsters Pack 1,"['win', 'mac']","10 Oct, 2024",¥23.40
