Appid,Game_title,Platform,Release_date,Price,original_price
2475390,Bootlegger's Mafia Racing Story,['win'],"2 Jan, 2024",¥52.00,
2732920,THERE IS NO SLEEP,['win'],"2 Jan, 2024",¥6.00,
2751730,Wicked Times Demo,"['win', 'mac']","2 Jan, 2024",Free,
2638260,Fair and square Demo,"['win', 'linux']","2 Jan, 2024",Free,
2736570,Super Pet Hero,['win'],"2 Jan, 2024",¥15.00,
2736580,Disco Dave,['win'],"2 Jan, 2024",¥15.00,
2345080,Cats VS Ghosts,['win'],"2 Jan, 2024",¥6.00,
2669130,CosmoPirates Demo,"['win', 'linux']","2 Jan, 2024",Free,
2591020,DraconG VR,"['win', 'group_separator']","2 Jan, 2024",¥42.00,
2619090,Lighark,"['win', 'mac']","2 Jan, 2024",¥26.00,
2699930,The Penguin Horror : Legacy of The pengcasso,['win'],"2 Jan, 2024",¥22.00,
2702960,AdventureQuest 8-Bit: Dungeons & DoomKnights,"['win', 'mac', 'linux']","2 Jan, 2024",¥76.00,
1863300,∀stralbringer -Shaded Arkarium-,['win'],"2 Jan, 2024",¥36.00,
2745560,Neon Fantasy: Rodents,['win'],"2 Jan, 2024",¥3.08,¥11.00
2747390,Trainz Plus DLC - Harvard Subdivision: Commuter Edition,"['win', 'mac']","2 Jan, 2024",¥136.00,
2747380,Trainz 2022 DLC - Harvard Subdivision: Commuter Edition,"['win', 'mac']","2 Jan, 2024",¥136.00,
2719990,Into The Unknown,['win'],"2 Jan, 2024",¥22.00,
2753750,Knight Case Files 体験版,['win'],"2 Jan, 2024",Free,
2730630,Shape Shifter,['win'],"2 Jan, 2024",¥26.00,
2665500,Pacific Minesweeper,"['win', 'linux']","2 Jan, 2024",Free,
2736230,Ski Jump Challenge 2024,['win'],"2 Jan, 2024",¥15.00,
2731910,Space Traveler's Brain Creator,"['win', 'mac', 'linux']","2 Jan, 2024",¥6.00,
2731180,Blaster Multiplayer,['win'],"2 Jan, 2024",Free,
1993820,T-night,['win'],"1 Jan, 2024",¥15.00,
2727550,KoChaos,['win'],"1 Jan, 2024",Free,
2756060,Fusion Fling Demo,['win'],"2 Jan, 2024",Free,
2658980,AquaRevive - VR Game,"['win', 'group_separator']","2 Jan, 2024",Free,
2739120,PvPillman,['win'],"2 Jan, 2024",Free,
2752160,Randy Blaster 3D Soundtrack,['music'],"2 Jan, 2024",Free,
2745890,Datascape - Help Us Pay RENT: $-800,"['win', 'linux']","2 Jan, 2024",¥22.00,
2730650,逆乱封神之武王伐纣,['win'],"2 Jan, 2024",¥22.00,
2728090,Endure or Perish,['win'],"2 Jan, 2024",¥56.00,
2718500,Escape from Blackwood,['win'],"2 Jan, 2024",¥33.00,
2752060,Into The Flames - Support Vehicle Pack,['win'],"2 Jan, 2024",¥22.00,
2750370,BL00D.exe Demo,['win'],"2 Jan, 2024",Free,
2160220,Shipwrecked 64,['win'],"2 Jan, 2024",¥33.00,
1915120,Daring Academy: Chapter 1 (Original Demo Soundtrack),['music'],"2 Jan, 2024",¥42.00,
2579540,The Fairway Club,['win'],"2 Jan, 2024",¥11.00,
1937320,Daring Academy: Chapter 1 Demo,"['win', 'mac', 'linux']","2 Jan, 2024",Free,
2734500,Moussacre DEMO,['win'],"2 Jan, 2024",Free,
